Model,Total,Std,N
Qwen3-4B-Instruct Two-Shot T=0.0,25.929577464788732,6.995620246866278,71
Ministral-3-8B-Instruct Two-Shot T=0.0,24.654545454545456,3.4965862927259987,55
gemma-3-4b-it One-Shot T=0.0,24.636363636363637,3.6747968966195885,11
granite-4.0-micro One-Shot T=0.0,23.884615384615383,4.758206862293683,26
gemma-3-4b-it Two-Shot T=0.0,23.804347826086957,12.051735514957805,46
granite-4.0-micro Two-Shot T=0.0,22.963636363636365,6.784912771901643,55
Qwen3-4B-Instruct One-Shot T=0.0,22.897058823529413,6.993988397361133,68
Ministral-3-3B-Reasoning Two-Shot T=0.0,22.089285714285715,6.990495551906495,56
Ministral-3-8B-Instruct One-Shot T=0.0,18.964285714285715,4.1788766677280185,28
Ministral-3-3B-Reasoning One-Shot T=0.0,16.515151515151516,8.36341677357755,33
Pynguin (Baseline),7.714285714285714,7.243191416246937,77
