id,model,config,task_id,failure_mode,auto_detected_patterns,test_code,error_output_summary,root_cause_category,specific_issue,proximity_to_success,recurring_pattern,notes
1,granite-4.0-micro,"One-Step, T=0.0",36011,Runtime,Needs manual review,"def test_set_encoder():
    from unittest.mock import MagicMock
    from __future__ import annotations
    solution = Solution()
    encoder = MagicMock()
    solution.set_encoder(encoder)
    assert global_encoder is encoder","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
:test_set_encoder_line1 FAILED                         [100%]

================================== FAILURES ===================================
___________________________ test_set_encoder_line1 ____________________________

    def test_set_encoder_line1():
        from unittest.mock import MagicMock
        solution = Solution()
        encoder = MagicMock()
        solution.set_encoder(encoder)
>       assert global_encoder is encoder
               ^^^^^^^^^^^^^^
E       NameError: name 'global_encoder' is not defined

test_generated.py:41: NameError
=========================== short test summary info ===========================
FAILED test_generated.py::test_set_encoder_line1 - NameError: name 'global_en...
============================== 1 failed in 0.22s ==============================",MissingDefinition,"Test references global_encoder in the assertion, but it is not available in the test harness.",near,,The model tries to assert against a global module-level variable that was not carried over to the test file.
2,granite-4.0-micro,"Two-Step, T=0.0",68859,Runtime,Needs manual review,"def test_get_activation():
    solution = Solution()
    assert solution.get_activation(""relu"") == ACT2FN[""relu""]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
_activation_line12():
        solution = Solution()
>       assert solution.get_activation('relu') == ACT2FN['relu']
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

test_generated.py:38: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <under_test.Solution object at 0x0000014F8DFFE7E0>
activation_string = 'relu'

    def get_activation(self, activation_string):
>       if activation_string in ACT2FN:
                                ^^^^^^
E       NameError: name 'ACT2FN' is not defined

under_test.py:23: NameError
=========================== short test summary info ===========================
FAILED test_generated.py::test_get_activation_line12 - NameError: name 'ACT2F...
============================== 1 failed in 6.80s ==============================",MissingDefinition,Test fails because the module-level constant ACT2FN is not defined in the test harness when executing under_test.py.,near,,Error occurs inside the function under test due to missing module scope definitions in the test environment.
3,granite-4.0-micro,"Two-Step, T=0.0",92186,Runtime,Needs manual review,"def test_get_encoder():
    solution = Solution()
    assert solution.get_encoder() is global_encoder","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
 solution = Solution()
>       assert solution.get_encoder() is global_encoder
               ^^^^^^^^^^^^^^^^^^^^^^

test_generated.py:38: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <under_test.Solution object at 0x000001DFD22E13D0>

    def get_encoder(self, ) -> Encoder:
        """"""Get the global encoder object.
    
        Returns:
          Encoder
        """"""
>       return global_encoder
               ^^^^^^^^^^^^^^
E       NameError: name 'global_encoder' is not defined

under_test.py:52: NameError
=========================== short test summary info ===========================
FAILED test_generated.py::test_get_encoder_line20 - NameError: name 'global_e...
============================== 1 failed in 0.19s ==============================",MissingDefinition,"Test fails because the function returns global_encoder, which is not defined in the module scope.",near,,"Similar to row 1, but the error throws inside under_test.py during the function call rather than at the assertion."
4,granite-4.0-micro,"Two-Step, T=0.0",79446,Runtime,Needs manual review,"def test_naturaldelta_years_one():
    solution = Solution()
    assert solution.naturaldelta(datetime.timedelta(days=365)) == ""a year""","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
ime.timedelta(days=365)) == 'a year'
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

test_generated.py:38: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <under_test.Solution object at 0x000002748E660680>
value = date
... [TRUNCATED] ...
   Returns:
            str (str or `value`): A natural representation of the amount of time
                elapsed unless `value` is not datetime.timedelta or cannot be
                converted to int (cannot be float due to 'inf' or 'nan').
                In that case, a `value` is returned unchanged.
    
        Raises:
            OverflowError: If `value` is too large to convert to datetime.timedelta.
    
        Examples:
            Compare two timestamps in a custom local timezone::",MissingImport,Uses datetime.timedelta without importing the datetime module.,high,,The trace clearly shows the failure happening directly on datetime.timedelta. A simple import datetime fixes this.
5,granite-4.0-micro,"One-Step, T=0.0",37301,Runtime,Possible API hallucination,"import os
import json
from unittest.mock import MagicMock, patch

def test_evaluate_single_test_worker():
    task_data = {
        'task_id': 'test1',
        'func_name': 'test_func',
        'solution_code': 'def test_func():\n    assert True',
        'raw_test_code': 'def test_func():\n    assert True',
        'mutation_enabled': True,
        'mutation_timeout': 600
    }

    with patch('builtins.subprocess.run') as run_mock, \
         patch('pathlib.Path.write_text') as write_text_mock, \
         patch('pathlib.Path.exists') as exists_mock, \
         patch('pathlib.Path.open') as open_mock, \
         patch('json.load') as load_mock, \
         patch('run_cosmic_ray_analysis') as cosmic_ray_mock:

        solution = Solution()
 
... [TRUNCATED] ...
, encoding='utf-8')
        write_text_mock.assert_any_call(""test_generated.py"", harness + f""\ntest_{func_name}()"", encoding='utf-8')
        exists_mock.return_value = True
        open_mock.assert_called_once_with(tmp_dir / ""coverage.json"")
        load_mock.return_value = {""totals"": {""percent_covered"": 1.0}}
        cosmic_ray_mock.assert_called_once_with(source_code_str=""COMMON_IMPORTS\nunder_test.py"", test_code_str=harness + f""\ntest_{func_name}()"", per_test_timeout=10, overall_timeout=600)","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
'solution_code': 'def test_func():\n    assert True', 'raw_test_code': 'def test_func():\n    assert True', 'mutation_enabled': True, 'mutation_timeout': 600}
>       with patch('builtins.subprocess.run') as run_mock, patch('pathlib.Path.write_text') as write_text_mock, patch('p
... [TRUNCATED] ...
    result = mod
        for p in parts:
>           result = getattr(result, p)
                     ^^^^^^^^^^^^^^^^^^
E           AttributeError: module 'builtins' has no attribute 'subprocess'

C:\Program Files\Python312\Lib\pkgutil.py:528: AttributeError
=========================== short test summary info ===========================
FAILED test_generated.py::test_evaluate_single_test_worker_line37 - Attribute...
============================== 1 failed in 0.29s ==============================",MockingError,"Tries to mock builtins.subprocess.run, but subprocess is not an attribute of the builtins module.",near,,The mock target string is malformed; it should likely just be mocking subprocess.run in the target module.
6,granite-4.0-micro,"One-Step, T=0.0",38818,Runtime,Needs manual review,"import argparse
import subprocess
import os
import logging
import time
import shutil
from unittest.mock import patch, MagicMock

def test_run_experiment():
    solution = Solution()
    command = [""echo"", ""test"", ""--output-file"", ""test.log""]
    with patch('subprocess.run') as mock_run:
        solution.run_experiment(command)
        mock_run.assert_called_once_with(
            command,
            check=True,
            text=True,
            encoding='utf-8',
            cwd=TESTEVAL_PATH
        )","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
 'test.log']
        with patch('subprocess.run') as mock_run:
>           solution.run_experiment(command)

test_generated.py:48: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <under_test.Solution object at 0x000001B579B03FB0>
command 
... [TRUNCATED] ...

                check=True,
                text=True,
                encoding='utf-8',
>               cwd=TESTEVAL_PATH
                    ^^^^^^^^^^^^^
            )
E           NameError: name 'TESTEVAL_PATH' is not defined

under_test.py:40: NameError
=========================== short test summary info ===========================
FAILED test_generated.py::test_run_experiment_line1 - NameError: name 'TESTEV...
============================== 1 failed in 0.18s ==============================",MissingDefinition,Test fails because TESTEVAL_PATH is not defined in the module scope during execution.,near,,Another instance of a module-level constant stripped from the harness execution environment.
7,granite-4.0-micro,"Two-Step, T=0.0",24238,Assertion,Value mismatch; Unexpected None,"def test_peek_filelike_length():
    from io import BytesIO
    solution = Solution()
    assert solution.peek_filelike_length(BytesIO()) is None","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
___________________

    def test_peek_filelike_length_line30():
        from io import BytesIO
        solution = Solution()
>       assert solution.peek_filelike_length(BytesIO()) is None
E       AssertionError: assert 0 is None
E        +  where 0 = peek_filelike_length(<_io.BytesIO object at 0x000002A78F94B0B0>)
E        +    where peek_filelike_length = <under_test.Solution object at 0x000002A78F84D5E0>.peek_filelike_length
E        +    and   <_io.BytesIO object at 0x000002A78F94B0B0> = <class '_io.BytesIO'>()

test_generated.py:39: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_peek_filelike_length_line30 - AssertionError: ...
============================== 1 failed in 0.23s ==============================",IncorrectAssertion,Test asserts peek_filelike_length(BytesIO()) is None but the correct answer is 0.,high,,"The test setup is perfectly valid, but the model guessed the wrong fallback return value for an empty buffer."
8,granite-4.0-micro,"Two-Step, T=0.0",15077,Assertion,Value mismatch,"def test_safe_hash():
    solution = Solution()
    assert solution.safe_hash(b""test"") == hashlib.md5(b""test"", usedforsecurity=True)","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
security=True)
E       AssertionError: assert <md5 _hashlib.HASH object @ 0x000001D1A4B1A8D0> == <md5 _hashlib.HASH object @ 0x000001D1A4B1A710>
E        +  where <md5 _hashlib.HASH object @ 0x000001D1A4B1A8D0> = safe_hash(b'test')
E        +    where safe_hash = <under_test.Solution object at 0x000001D1A4BEDF10>.safe_hash
E        +  and   <md5 _hashlib.HASH object @ 0x000001D1A4B1A710> = <built-in function openssl_md5>(b'test', usedforsecurity=True)
E        +    where <built-in function openssl_md5> = hashlib.md5

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_safe_hash_line22 - AssertionError: assert <md5...
============================== 1 failed in 0.21s ==============================",IncorrectAssertion,Test compares two hashlib hash objects using == instead of comparing their computed digests.,near,,Python hash objects don't equate via == unless they are the same instance. Fixable by appending .hexdigest() to both sides.
9,granite-4.0-micro,"Two-Step, T=0.0",34966,Assertion,Value mismatch,"def test_dict_to_sequence():
    solution = Solution()
    assert solution.dict_to_sequence({'a': 1, 'b': 2}) == [('a', 1), ('b', 2)]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
quence_line27 _________________________

    def test_dict_to_sequence_line27():
        solution = Solution()
>       assert solution.dict_to_sequence({'a': 1, 'b': 2}) == [('a', 1), ('b', 2)]
E       AssertionError: assert dict_items([(...1), ('b', 2)]) == [('a', 1), ('b', 2)]
E         
E         Full diff:
E         + dict_items([('a', 1), ('b', 2)])
E         - [
E         -     (
E         -         'a',
E         -         1,...
E         
E         ...Full output truncated (6 lines hidden), use '-vv' to show

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_dict_to_sequence_line27 - AssertionError: asse...
============================== 1 failed in 0.29s ==============================",IncorrectAssertion,"Test asserts dict_to_sequence returns a list, but it actually returns a dict_items view object.",high,,The model failed to account for Python 3 dictionary view behavior; fixable by wrapping the call in list().
10,granite-4.0-micro,"One-Step, T=0.0",22716,Assertion,Value mismatch,"def test_strip_url():
    solution = Solution()
    assert solution.strip_url(""http://user:pass@www.example.com:80/path?query#fragment"") == ""http://www.example.com/path?query#fragment""
    assert solution.strip_url(""https://user:pass@www.example.com:443/path?query#fragment"", strip_default_port=False) == ""https://user:pass@www.example.com:443/path?query#fragment""
    assert solution.strip_url(""ftp://user:pass@www.example.com:21/path?query#fragment"", origin_only=True) == ""ftp://www.example.com/""
    assert solution.strip_url(""https://user:pass@www.example.com:443/path?query#fragment"", strip_fragment=False) == ""https://user:pass@www.example.com/path?query""","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
__ test_strip_url_line34 ____________________________

    def test_strip_url_line34():
        solution = Solution()
>       assert solution.strip_url('http://user:pass@www.example.com:80/path?query#fragment') == 'http://www.example.com/path?query#fragment'
E       AssertionError: assert 'http://www.e...om/path?query' == 'http://www.e...uery#fragment'
E         
E         - http://www.example.com/path?query#fragment
E         ?                                  ---------
E         + http://www.example.com/path?query

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_strip_url_line34 - AssertionError: assert 'htt...
============================== 1 failed in 0.94s ==============================",IncorrectAssertion,"Test asserts that strip_url keeps the #fragment by default, but the function strips it.",high,YES,The model did not anticipate the default keyword argument behaviors of the function.
