id,model,config,task_id,failure_mode,auto_detected_patterns,test_code,error_output_summary,root_cause_category,specific_issue,proximity_to_success,recurring_pattern,notes
1,granite-4.0-micro,"One-Step, T=0.0",2499,Assertion,Value mismatch,"def test_minimumTotalCost():
    solution=Solution()
    assert solution.minimumTotalCost([1,2,3,4,5], [1,2,3,4,5]) == -1","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
talCost_line22 _________________________

    def test_minimumTotalCost_line22():
        solution = Solution()
>       assert solution.minimumTotalCost([1, 2, 3, 4, 5], [1, 2, 3, 4, 5]) == -1
E       assert 10 == -1
E        +  where 10 = minimumTotalCost([1, 2, 3, 4, 5], [1, 2
... [TRUNCATED] ...
imumTotalCost = <under_test.Solution object at 0x000002C3BA5B1C70>.minimumTotalCost

test_generated.py:46: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_minimumTotalCost_line22 - assert 10 == -1
FAILED test_generated.py::test_minimumTotalCost_line23 - assert 10 == -1
FAILED test_generated.py::test_minimumTotalCost_line24 - assert 10 == -1
============================== 3 failed in 0.18s ==============================",IncorrectAssertion,"Test asserts minimumTotalCost([1, 2, 3, 4, 5], [1, 2, 3, 4, 5]) == -1 but correct answer is 10.",high,Incorrect expected value,
2,granite-4.0-micro,"Two-Step, T=0.0",1627,Assertion,Value mismatch,"def test_areConnected():
    solution = Solution()
    assert solution.areConnected(6, 2, [[1, 4], [2, 5], [3, 6]]) == [False, False, False]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
_ test_areConnected_line20 ___________________________

    def test_areConnected_line20():
        solution = Solution()
>       assert solution.areConnected(6, 2, [[1, 4], [2, 5], [3, 6]]) == [False, False, False]
E       AssertionError: assert [False, False, True] == [False, False, False]
E         
E         At index 2 diff: True != False
E         
E         Full diff:
E           [
E               False,
E               False,...
E         
E         ...Full output truncated (3 lines hidden), use '-vv' to show

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_areConnected_line20 - AssertionError: assert [...
============================== 1 failed in 0.17s ==============================",IncorrectAssertion,"Test asserts areConnected(6, 2, [[1, 4], [2, 5], [3, 6]]) == [False, False, False] but correct answer is [False, False, True].",high,Incorrect expected value,
3,granite-4.0-micro,"Two-Step, T=0.0",417,Assertion,Value mismatch,"def test_pacificAtlantic():
    solution = Solution()
    assert solution.pacificAtlantic([[1, 2, 2, 3, 5],
                                      [3, 2, 3, 4, 4],
                                      [2, 4, 5, 3, 1],
                                      [6, 7, 1, 4, 5],
                                      [5, 1, 1, 2, 4]]) == [[0, 4], [1, 3], [1, 4], [2, 4], [3, 3], [4, 0], [4, 1], [4, 2], [4, 3], [4, 4]]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
5], [3, 2, 3, 4, 4], [2, 4, 5, 3, 1], [6, 7, 1, 4, 5], [5, 1, 1, 2, 4]]) == [[0, 4], [1, 3], [1, 4], [2, 4], [3, 3], [4, 0], [4, 1], [4, 2], [4, 3], [4, 4]]
E       AssertionError: assert [[0, 4], [1, ..., [3, 1], ...] == [[0, 4], [1, ..., [4, 0], ...]
E         
E         At index 3 diff: [2, 2] != [2, 4]
E         Right contains 3 more items, first extra item: [4, 2]
E         
E         Full diff:
E           [
E               [...
E         
E         ...Full output truncated (47 lines hidden), use '-vv' to show

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_pacificAtlantic_line41 - AssertionError: asser...
============================== 1 failed in 0.17s ==============================",IncorrectAssertion,Test asserts pacificAtlantic(...) returns a specific list of coordinates but correct answer contains a different list of pairs.,high,Incorrect expected value,
4,granite-4.0-micro,"One-Step, T=0.0",2911,Assertion,Value mismatch,"def test_minimumChanges():
    solution=Solution()
    assert solution.minimumChanges(""abcabc"", 2) == 1","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
es_line52 FAILED                     [100%]

================================== FAILURES ===================================
_________________________ test_minimumChanges_line52 __________________________

    def test_minimumChanges_line52():
        solution = Solution()
>       assert solution.minimumChanges('abcabc', 2) == 1
E       AssertionError: assert 2 == 1
E        +  where 2 = minimumChanges('abcabc', 2)
E        +    where minimumChanges = <under_test.Solution object at 0x000001BCCF11DE80>.minimumChanges

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_minimumChanges_line52 - AssertionError: assert...
============================== 1 failed in 0.19s ==============================",IncorrectAssertion,"Test asserts minimumChanges(""abcabc"", 2) == 1 but correct answer is 2.",high,Incorrect expected value,
5,granite-4.0-micro,"Two-Step, T=0.0",2812,Assertion,Value mismatch,"def test_maximumSafenessFactor():
    solution = Solution()
    assert solution.maximumSafenessFactor([[1, 0, 2], [0, 0, 0], [0, 0, 1]]) == 1","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
===================== FAILURES ===================================
______________________ test_maximumSafenessFactor_line19 ______________________

    def test_maximumSafenessFactor_line19():
        solution = Solution()
>       assert solution.maximumSafenessFactor([[1, 0, 2], [0, 0, 0], [0, 0, 1]]) == 1
E       assert 0 == 1
E        +  where 0 = maximumSafenessFactor([[1, 0, 2], [0, 0, 0], [0, 0, 1]])
E        +    where maximumSafenessFactor = <under_test.Solution object at 0x000001E89635D250>.maximumSafenessFactor

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_maximumSafenessFactor_line19 - assert 0 == 1
============================== 1 failed in 0.16s ==============================",IncorrectAssertion,"Test asserts maximumSafenessFactor([[1, 0, 2], [0, 0, 0], [0, 0, 1]]) == 1 but correct answer is 0.",high,Incorrect expected value,
6,granite-4.0-micro,"Two-Step, T=0.0",2653,Assertion,Value mismatch,"def test_getSubarrayBeauty():
    solution = Solution()
    assert solution.getSubarrayBeauty([-1, -2, -3, 4, 5], 3, 2) == [-1, -1, -1]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
========
________________________ test_getSubarrayBeauty_line18 ________________________

    def test_getSubarrayBeauty_line18():
        solution = Solution()
>       assert solution.getSubarrayBeauty([-1, -2, -3, 4, 5], 3, 2) == [-1, -1, -1]
E       AssertionError: assert [-2, -2, 0] == [-1, -1, -1]
E         
E         At index 0 diff: -2 != -1
E         
E         Full diff:
E           [
E         -     -1,
E         ?      ^...
E         
E         ...Full output truncated (11 lines hidden), use '-vv' to show

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_getSubarrayBeauty_line18 - AssertionError: ass...
============================== 1 failed in 0.17s ==============================",IncorrectAssertion,"Test asserts getSubarrayBeauty([-1, -2, -3, 4, 5], 3, 2) == [-1, -1, -1] but correct answer is [-2, -2, 0].",high,Incorrect expected value,
7,granite-4.0-micro,"Two-Step, T=0.0",2437,Assertion,Value mismatch,"def test_countTime():
    solution = Solution()
    assert solution.countTime(""?4?:05"") == 20","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
nerated.py::test_countTime_line15 FAILED                          [100%]

================================== FAILURES ===================================
____________________________ test_countTime_line15 ____________________________

    def test_countTime_line15():
        solution = Solution()
>       assert solution.countTime('?4?:05') == 20
E       AssertionError: assert 2 == 20
E        +  where 2 = countTime('?4?:05')
E        +    where countTime = <under_test.Solution object at 0x000002669189BB00>.countTime

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_countTime_line15 - AssertionError: assert 2 == 20
============================== 1 failed in 0.14s ==============================",IncorrectAssertion,"Test asserts countTime(""?4?:05"") == 20 but correct answer is 2.",high,Incorrect expected value,
8,granite-4.0-micro,"Two-Step, T=0.0",1719,Assertion,Value mismatch,"def test_checkWays():
    solution = Solution()
    assert solution.checkWays([[1, 2], [2, 3], [1, 3]]) == 1","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
_generated.py::test_checkWays_line31 FAILED                          [100%]

================================== FAILURES ===================================
____________________________ test_checkWays_line31 ____________________________

    def test_checkWays_line31():
        solution = Solution()
>       assert solution.checkWays([[1, 2], [2, 3], [1, 3]]) == 1
E       assert 2 == 1
E        +  where 2 = checkWays([[1, 2], [2, 3], [1, 3]])
E        +    where checkWays = <under_test.Solution object at 0x000002571361E0F0>.checkWays

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_checkWays_line31 - assert 2 == 1
============================== 1 failed in 0.17s ==============================",IncorrectAssertion,"Test asserts checkWays([[1, 2], [2, 3], [1, 3]]) == 1 but correct answer is 2.",high,Incorrect expected value,
9,granite-4.0-micro,"One-Step, T=0.0",2904,Assertion,Needs manual review,"def test_shortestBeautifulSubstring():
    solution=Solution()
    assert solution.shortestBeautifulSubstring(""00110011"", 2) == ""0011""","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
lSubstring_line28 FAILED         [100%]

================================== FAILURES ===================================
___________________ test_shortestBeautifulSubstring_line20 ____________________

    def test_shortestBeautifulSubstring_line20():
        solution = Solution
... [TRUNCATED] ...
===============
FAILED test_generated.py::test_shortestBeautifulSubstring_line20 - AssertionE...
FAILED test_generated.py::test_shortestBeautifulSubstring_line23 - AssertionE...
FAILED test_generated.py::test_shortestBeautifulSubstring_line24 - AssertionE...
FAILED test_generated.py::test_shortestBeautifulSubstring_line26 - AssertionE...
FAILED test_generated.py::test_shortestBeautifulSubstring_line28 - AssertionE...
============================== 5 failed in 0.18s ==============================",IncorrectAssertion,"Test asserts shortestBeautifulSubstring(""00110011"", 2) == ""0011"" but correct answer is different (exact value truncated in logs).",high,Incorrect expected value,
10,granite-4.0-micro,"Two-Step, T=0.0",1579,Assertion,Value mismatch,"def test_maxNumEdgesToRemove():
    solution = Solution()
    assert solution.maxNumEdgesToRemove(4, [[3, 1, 2], [3, 2, 3], [1, 1, 3], [1, 2, 4], [1, 1, 2], [2, 3, 4]]) == 3","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
======
_______________________ test_maxNumEdgesToRemove_line21 _______________________

    def test_maxNumEdgesToRemove_line21():
        solution = Solution()
>       assert solution.maxNumEdgesToRemove(4, [[3, 1, 2], [3, 2, 3], [1, 1, 3], [1, 2, 4], [1, 1, 2], [2, 3, 4]]) == 3
E       assert 2 == 3
E        +  where 2 = maxNumEdgesToRemove(4, [[3, 1, 2], [3, 2, 3], [1, 1, 3], [1, 2, 4], [1, 1, 2], [2, 3, 4]])
E        +    where maxNumEdgesToRemove = <under_test.Solution object at 0x00000205CA14BD40>.maxNumEdgesToRemove

test_generated.py:38: AssertionError
=========================== short test summary info ===========================
FAILED test_generated.py::test_maxNumEdgesToRemove_line21 - assert 2 == 3
============================== 1 failed in 0.17s ==============================",IncorrectAssertion,Test asserts maxNumEdgesToRemove(...) == 3 but correct answer is 2.,high,Incorrect expected value,
11,granite-4.0-micro,"One-Step, T=0.0",2019,Runtime,Key not found,"def test_scoreOfStudents():
    solution=Solution()
    assert solution.scoreOfStudents(""2-3"", [5]) == 5","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...

        solution = Solution()
>       assert solution.scoreOfStudents('2-3', [5]) == 5
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

test_generated.py:38: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <under_test.Solution object
... [TRUNCATED] ...
2 + 1]
            for a in dp[i][k]:
              for b in dp[k + 1][j]:
>               res = func[op](a, b)
                      ^^^^^^^^
E               KeyError: '-'

under_test.py:40: KeyError
=========================== short test summary info ===========================
FAILED test_generated.py::test_scoreOfStudents_line31 - KeyError: '-'
FAILED test_generated.py::test_scoreOfStudents_line37 - KeyError: '-'
============================== 2 failed in 0.21s ==============================",SemanticMisunderstanding,"Test passes an expression with a '-' operator which the function does not support, causing a KeyError.",moderate,,Problem only supports '+' and '*'
12,granite-4.0-micro,"One-Step, T=0.0",1878,Runtime,Wrong function signature; Type mismatch,"def test_getBiggestThree():
    solution = Solution()
    grid = [
        [1, 2, 3],
        [4, 5, 6],
        [7, 8, 9]
    ]
    assert list(solution.getBiggestThree()) == [17, 13, 9]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
ree_line27 FAILED                    [100%]

================================== FAILURES ===================================
_________________________ test_getBiggestThree_line27 _________________________

    def test_getBiggestThree_line27():
        solution = Solution()
        grid = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
>       assert list(solution.getBiggestThree()) == [17, 13, 9]
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^
E       TypeError: Solution.getBiggestThree() missing 1 required positional argument: 'grid'

test_generated.py:39: TypeError
=========================== short test summary info ===========================
FAILED test_generated.py::test_getBiggestThree_line27 - TypeError: Solution.g...
============================== 1 failed in 0.17s ==============================",SemanticMisunderstanding,Test forgets to pass the grid variable as an argument to getBiggestThree().,high,,
13,granite-4.0-micro,"Two-Step, T=0.0",1301,Runtime,Index out of bounds,"def test_pathsWithMaxScore():
    solution = Solution()
    assert solution.pathsWithMaxScore([""E23"",""2X2"",""12""]) == [3, 2]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
pathsWithMaxScore(self, board: List[str]) -> List[int]:
      kMod = 1_000_000_007
      n = len(board)
      dirs = ((0, 1), (1, 0), (1, 1))
      dp = [[-1] * (n + 1) for _ in range(n + 1)]
      count = [[0] * (n + 1) for _ in range(n + 1)]
    
      dp[0][0] = 0
      dp[n - 1][n - 1] = 0
      count[n - 1][n - 1] = 1
    
      for i in reversed(range(n)):
        for j in reversed(range(n)):
>         if board[i][j] == 'S' or board[i][j] == 'X':
             ^^^^^^^^^^^
E         IndexError: string index out of range

under_test.py:36: IndexError
=========================== short test summary info ===========================
FAILED test_generated.py::test_pathsWithMaxScore_line26 - IndexError: string ...
============================== 1 failed in 0.17s ==============================",SemanticMisunderstanding,"Test provides a non-square board where the last row has length 2 instead of 3, causing an IndexError.",near,,
14,granite-4.0-micro,"Two-Step, T=0.0",3108,Runtime,Index out of bounds,"def test_minimumCost():
    solution = Solution()
    assert solution.minimumCost(4, [[1, 2, 9], [2, 3, 6], [2, 4, 5], [1, 4, 7]], [[1, 3], [1, 4], [2, 3]]) == [15, 7, 6]","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
^^^^^^^^^^^^^^^

test_generated.py:38: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
under_test.py:65: in minimumCost
    uf.unionByRank(u, v, w)
under_test.py:30: in unionByRank
    j = self._find(v)
        ^^^^^^^^^^^^^
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <under_test.UnionFind object at 0x000001AA2CCECFE0>, u = 4

    def _find(self, u: int) -> int:
>     if self.id[u] != u:
         ^^^^^^^^^^
E     IndexError: list index out of range

under_test.py:55: IndexError
=========================== short test summary info ===========================
FAILED test_generated.py::test_minimumCost_line24 - IndexError: list index ou...
============================== 1 failed in 0.17s ==============================",SemanticMisunderstanding,"Test uses 1-based node indices (up to 4) for a UnionFind initialized with size 4, causing an IndexError.",near,graph node index out of bounds,
15,granite-4.0-micro,"Two-Step, T=0.0",1263,Runtime,Needs manual review,"def test_minPushBox():
    solution = Solution()
    grid = [
        ['T', '.', '#', '.'],
        ['#', '.', '.', '.'],
        ['#', '.', '#', '.'],
        ['S', '.', '.', '.']
    ]
    assert solution.minPushBox(grid) == 3","============================= test session starts =============================
platform win32 -- Python 3.12.10, pytest-8.4.2, pluggy-1.6.0 -- C:\Rep
... [TRUNCATED - showing end] ...
.'], ['#', '.', '#', '.'], ['S', '.', '.', '.']]
>       assert solution.minPushBox(grid) == 3
               ^^^^^^^^^^^^^^^^^^^^^^^^^

test_generated.py:39: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <under_test.Solution object at 
... [TRUNCATED] ...
(x,y))
              que.append((x,y))
        return False
    
>     q = deque([(0,box,person)])
                    ^^^
E     UnboundLocalError: cannot access local variable 'box' where it is not associated with a value

under_test.py:51: UnboundLocalError
=========================== short test summary info ===========================
FAILED test_generated.py::test_minPushBox_line17 - UnboundLocalError: cannot ...
============================== 1 failed in 0.17s ==============================",SemanticMisunderstanding,"Test provides a grid that is missing the box ('B'), causing an UnboundLocalError in the source code.",near,,
