Model,Elo Rating,Rank
Qwen3-4B-Instruct Two-Shot T=0.0,1660.7486040188044,1
gemma-3-4b-it Two-Shot T=0.0,1597.5903992446354,2
Qwen3-4B-Instruct One-Shot T=0.0,1586.4160478515428,3
Ministral-3-8B-Instruct Two-Shot T=0.0,1569.7476823491284,4
Ministral-3-3B-Reasoning Two-Shot T=0.0,1544.925661682417,5
gemma-3-4b-it One-Shot T=0.0,1512.3501065857345,6
granite-4.0-micro One-Shot T=0.0,1507.7604091271057,7
granite-4.0-micro Two-Shot T=0.0,1504.7676012530637,8
Ministral-3-3B-Reasoning One-Shot T=0.0,1420.9604112901543,9
Ministral-3-8B-Instruct One-Shot T=0.0,1413.0476790715782,10
Pynguin (Baseline),1181.685397525836,11
